epoch,train_loss,test_loss,train_acc,test_acc
1,0.1773055931961556,0.11715290685436326,0.9310170454799719,0.9571468846912884
2,0.10063255767090486,0.08949904675724532,0.9639176411096343,0.9689073261105965
3,0.08170484759700015,0.08040267044113512,0.9709121502186063,0.9719682629183616
4,0.07021966443530255,0.07857279533562277,0.9746174947753746,0.9732973539006806
5,0.062299927920050395,0.0738135943584388,0.9780767113724542,0.9751500261790648
